StartTime: 2020-02-13 11:06:50.004
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	11:51:50.226	0.0000	-0.0132	1.0083	0.3662	-0.1831	0.0000	-0.6976	0.0220	0.0000	23.6619 
0x50	11:51:50.226	0.0000	-0.0112	1.0063	0.6714	-0.4883	-0.1831	-0.6866	0.0110	0.0000	23.6648 
0x50	11:51:50.226	0.0000	-0.0112	1.0063	0.6714	-0.6714	-0.1831	-0.6702	0.0000	0.0000	23.6648 
0x50	11:51:50.257	0.0000	-0.0107	1.0020	0.0000	0.0000	0.0000	-0.6592	-0.0110	0.0000	23.6589 
0x50	11:51:50.257	0.0000	-0.0107	1.0020	0.0000	0.0000	0.0000	-0.6592	-0.0110	0.0000	23.6589 
0x50	11:51:50.273	0.0005	-0.0122	1.0039	-0.3662	0.3052	0.1831	-0.6647	-0.0110	0.0000	23.6560 
0x50	11:51:50.304	-0.0010	-0.0137	1.0068	0.0000	0.0000	0.1831	-0.6702	-0.0055	0.0000	23.6619 
0x50	11:51:50.304	-0.0010	-0.0137	1.0068	0.0000	0.0000	0.1831	-0.6757	0.0000	0.0000	23.6619 
0x50	11:51:50.320	-0.0010	-0.0127	1.0049	0.0000	-0.3052	0.0000	-0.6757	-0.0110	0.0000	23.6648 
0x50	11:51:50.413	-0.0005	-0.0137	1.0039	0.1831	-0.3052	0.0000	-0.6757	-0.0110	0.0000	23.6678 
0x50	11:51:50.429	0.0000	-0.0127	1.0029	0.0000	-0.1831	0.0000	-0.6757	-0.0165	0.0000	23.6648 
0x50	11:51:50.429	0.0000	-0.0127	1.0044	0.0000	0.0000	0.0000	-0.6757	-0.0110	0.0000	23.6589 
0x50	11:51:50.429	-0.0005	-0.0132	1.0024	0.0000	0.0000	0.0000	-0.6757	-0.0110	0.0000	23.6648 
0x50	11:51:50.429	-0.0005	-0.0132	1.0024	0.0000	0.0000	0.0000	-0.6812	-0.0110	0.0000	23.6648 
